name,country-code,raa,hda,hid_hex,ip6_prefix
Afghanistan,4,16,0,0040000,2001:0030:0400::/44
Afghanistan,4,16,4096,0041000,2001:0030:0410::/44
Afghanistan,4,16,8192,0042000,2001:0030:0420::/44
Afghanistan,4,16,12288,0043000,2001:0030:0430::/44
Afghanistan,4,17,0,0044000,2001:0030:0440::/44
Afghanistan,4,17,4096,0045000,2001:0030:0450::/44
Afghanistan,4,17,8192,0046000,2001:0030:0460::/44
Afghanistan,4,17,12288,0047000,2001:0030:0470::/44
Afghanistan,4,18,0,0048000,2001:0030:0480::/44
Afghanistan,4,18,4096,0049000,2001:0030:0490::/44
Afghanistan,4,18,8192,004a000,2001:0030:04a0::/44
Afghanistan,4,18,12288,004b000,2001:0030:04b0::/44
Afghanistan,4,19,0,004c000,2001:0030:04c0::/44
Afghanistan,4,19,4096,004d000,2001:0030:04d0::/44
Afghanistan,4,19,8192,004e000,2001:0030:04e0::/44
Afghanistan,4,19,12288,004f000,2001:0030:04f0::/44
Åland Islands,248,992,0,0f80000,2001:0030:f800::/44
Åland Islands,248,992,4096,0f81000,2001:0030:f810::/44
Åland Islands,248,992,8192,0f82000,2001:0030:f820::/44
Åland Islands,248,992,12288,0f83000,2001:0030:f830::/44
Åland Islands,248,993,0,0f84000,2001:0030:f840::/44
Åland Islands,248,993,4096,0f85000,2001:0030:f850::/44
Åland Islands,248,993,8192,0f86000,2001:0030:f860::/44
Åland Islands,248,993,12288,0f87000,2001:0030:f870::/44
Åland Islands,248,994,0,0f88000,2001:0030:f880::/44
Åland Islands,248,994,4096,0f89000,2001:0030:f890::/44
Åland Islands,248,994,8192,0f8a000,2001:0030:f8a0::/44
Åland Islands,248,994,12288,0f8b000,2001:0030:f8b0::/44
Åland Islands,248,995,0,0f8c000,2001:0030:f8c0::/44
Åland Islands,248,995,4096,0f8d000,2001:0030:f8d0::/44
Åland Islands,248,995,8192,0f8e000,2001:0030:f8e0::/44
Åland Islands,248,995,12288,0f8f000,2001:0030:f8f0::/44
Albania,8,32,0,0080000,2001:0030:0800::/44
Albania,8,32,4096,0081000,2001:0030:0810::/44
Albania,8,32,8192,0082000,2001:0030:0820::/44
Albania,8,32,12288,0083000,2001:0030:0830::/44
Albania,8,33,0,0084000,2001:0030:0840::/44
Albania,8,33,4096,0085000,2001:0030:0850::/44
Albania,8,33,8192,0086000,2001:0030:0860::/44
Albania,8,33,12288,0087000,2001:0030:0870::/44
Albania,8,34,0,0088000,2001:0030:0880::/44
Albania,8,34,4096,0089000,2001:0030:0890::/44
Albania,8,34,8192,008a000,2001:0030:08a0::/44
Albania,8,34,12288,008b000,2001:0030:08b0::/44
Albania,8,35,0,008c000,2001:0030:08c0::/44
Albania,8,35,4096,008d000,2001:0030:08d0::/44
Albania,8,35,8192,008e000,2001:0030:08e0::/44
Albania,8,35,12288,008f000,2001:0030:08f0::/44
Algeria,12,48,0,00c0000,2001:0030:0c00::/44
Algeria,12,48,4096,00c1000,2001:0030:0c10::/44
Algeria,12,48,8192,00c2000,2001:0030:0c20::/44
Algeria,12,48,12288,00c3000,2001:0030:0c30::/44
Algeria,12,49,0,00c4000,2001:0030:0c40::/44
Algeria,12,49,4096,00c5000,2001:0030:0c50::/44
Algeria,12,49,8192,00c6000,2001:0030:0c60::/44
Algeria,12,49,12288,00c7000,2001:0030:0c70::/44
Algeria,12,50,0,00c8000,2001:0030:0c80::/44
Algeria,12,50,4096,00c9000,2001:0030:0c90::/44
Algeria,12,50,8192,00ca000,2001:0030:0ca0::/44
Algeria,12,50,12288,00cb000,2001:0030:0cb0::/44
Algeria,12,51,0,00cc000,2001:0030:0cc0::/44
Algeria,12,51,4096,00cd000,2001:0030:0cd0::/44
Algeria,12,51,8192,00ce000,2001:0030:0ce0::/44
Algeria,12,51,12288,00cf000,2001:0030:0cf0::/44
American Samoa,16,64,0,0100000,2001:0030:1000::/44
American Samoa,16,64,4096,0101000,2001:0030:1010::/44
American Samoa,16,64,8192,0102000,2001:0030:1020::/44
American Samoa,16,64,12288,0103000,2001:0030:1030::/44
American Samoa,16,65,0,0104000,2001:0030:1040::/44
American Samoa,16,65,4096,0105000,2001:0030:1050::/44
American Samoa,16,65,8192,0106000,2001:0030:1060::/44
American Samoa,16,65,12288,0107000,2001:0030:1070::/44
American Samoa,16,66,0,0108000,2001:0030:1080::/44
American Samoa,16,66,4096,0109000,2001:0030:1090::/44
American Samoa,16,66,8192,010a000,2001:0030:10a0::/44
American Samoa,16,66,12288,010b000,2001:0030:10b0::/44
American Samoa,16,67,0,010c000,2001:0030:10c0::/44
American Samoa,16,67,4096,010d000,2001:0030:10d0::/44
American Samoa,16,67,8192,010e000,2001:0030:10e0::/44
American Samoa,16,67,12288,010f000,2001:0030:10f0::/44
Andorra,20,80,0,0140000,2001:0030:1400::/44
Andorra,20,80,4096,0141000,2001:0030:1410::/44
Andorra,20,80,8192,0142000,2001:0030:1420::/44
Andorra,20,80,12288,0143000,2001:0030:1430::/44
Andorra,20,81,0,0144000,2001:0030:1440::/44
Andorra,20,81,4096,0145000,2001:0030:1450::/44
Andorra,20,81,8192,0146000,2001:0030:1460::/44
Andorra,20,81,12288,0147000,2001:0030:1470::/44
Andorra,20,82,0,0148000,2001:0030:1480::/44
Andorra,20,82,4096,0149000,2001:0030:1490::/44
Andorra,20,82,8192,014a000,2001:0030:14a0::/44
Andorra,20,82,12288,014b000,2001:0030:14b0::/44
Andorra,20,83,0,014c000,2001:0030:14c0::/44
Andorra,20,83,4096,014d000,2001:0030:14d0::/44
Andorra,20,83,8192,014e000,2001:0030:14e0::/44
Andorra,20,83,12288,014f000,2001:0030:14f0::/44
Angola,24,96,0,0180000,2001:0030:1800::/44
Angola,24,96,4096,0181000,2001:0030:1810::/44
Angola,24,96,8192,0182000,2001:0030:1820::/44
Angola,24,96,12288,0183000,2001:0030:1830::/44
Angola,24,97,0,0184000,2001:0030:1840::/44
Angola,24,97,4096,0185000,2001:0030:1850::/44
Angola,24,97,8192,0186000,2001:0030:1860::/44
Angola,24,97,12288,0187000,2001:0030:1870::/44
Angola,24,98,0,0188000,2001:0030:1880::/44
Angola,24,98,4096,0189000,2001:0030:1890::/44
Angola,24,98,8192,018a000,2001:0030:18a0::/44
Angola,24,98,12288,018b000,2001:0030:18b0::/44
Angola,24,99,0,018c000,2001:0030:18c0::/44
Angola,24,99,4096,018d000,2001:0030:18d0::/44
Angola,24,99,8192,018e000,2001:0030:18e0::/44
Angola,24,99,12288,018f000,2001:0030:18f0::/44
Anguilla,660,2640,0,2940000,2001:0032:9400::/44
Anguilla,660,2640,4096,2941000,2001:0032:9410::/44
Anguilla,660,2640,8192,2942000,2001:0032:9420::/44
Anguilla,660,2640,12288,2943000,2001:0032:9430::/44
Anguilla,660,2641,0,2944000,2001:0032:9440::/44
Anguilla,660,2641,4096,2945000,2001:0032:9450::/44
Anguilla,660,2641,8192,2946000,2001:0032:9460::/44
Anguilla,660,2641,12288,2947000,2001:0032:9470::/44
Anguilla,660,2642,0,2948000,2001:0032:9480::/44
Anguilla,660,2642,4096,2949000,2001:0032:9490::/44
Anguilla,660,2642,8192,294a000,2001:0032:94a0::/44
Anguilla,660,2642,12288,294b000,2001:0032:94b0::/44
Anguilla,660,2643,0,294c000,2001:0032:94c0::/44
Anguilla,660,2643,4096,294d000,2001:0032:94d0::/44
Anguilla,660,2643,8192,294e000,2001:0032:94e0::/44
Anguilla,660,2643,12288,294f000,2001:0032:94f0::/44
Antarctica,10,40,0,00a0000,2001:0030:0a00::/44
Antarctica,10,40,4096,00a1000,2001:0030:0a10::/44
Antarctica,10,40,8192,00a2000,2001:0030:0a20::/44
Antarctica,10,40,12288,00a3000,2001:0030:0a30::/44
Antarctica,10,41,0,00a4000,2001:0030:0a40::/44
Antarctica,10,41,4096,00a5000,2001:0030:0a50::/44
Antarctica,10,41,8192,00a6000,2001:0030:0a60::/44
Antarctica,10,41,12288,00a7000,2001:0030:0a70::/44
Antarctica,10,42,0,00a8000,2001:0030:0a80::/44
Antarctica,10,42,4096,00a9000,2001:0030:0a90::/44
Antarctica,10,42,8192,00aa000,2001:0030:0aa0::/44
Antarctica,10,42,12288,00ab000,2001:0030:0ab0::/44
Antarctica,10,43,0,00ac000,2001:0030:0ac0::/44
Antarctica,10,43,4096,00ad000,2001:0030:0ad0::/44
Antarctica,10,43,8192,00ae000,2001:0030:0ae0::/44
Antarctica,10,43,12288,00af000,2001:0030:0af0::/44
Antigua and Barbuda,28,112,0,01c0000,2001:0030:1c00::/44
Antigua and Barbuda,28,112,4096,01c1000,2001:0030:1c10::/44
Antigua and Barbuda,28,112,8192,01c2000,2001:0030:1c20::/44
Antigua and Barbuda,28,112,12288,01c3000,2001:0030:1c30::/44
Antigua and Barbuda,28,113,0,01c4000,2001:0030:1c40::/44
Antigua and Barbuda,28,113,4096,01c5000,2001:0030:1c50::/44
Antigua and Barbuda,28,113,8192,01c6000,2001:0030:1c60::/44
Antigua and Barbuda,28,113,12288,01c7000,2001:0030:1c70::/44
Antigua and Barbuda,28,114,0,01c8000,2001:0030:1c80::/44
Antigua and Barbuda,28,114,4096,01c9000,2001:0030:1c90::/44
Antigua and Barbuda,28,114,8192,01ca000,2001:0030:1ca0::/44
Antigua and Barbuda,28,114,12288,01cb000,2001:0030:1cb0::/44
Antigua and Barbuda,28,115,0,01cc000,2001:0030:1cc0::/44
Antigua and Barbuda,28,115,4096,01cd000,2001:0030:1cd0::/44
Antigua and Barbuda,28,115,8192,01ce000,2001:0030:1ce0::/44
Antigua and Barbuda,28,115,12288,01cf000,2001:0030:1cf0::/44
Argentina,32,128,0,0200000,2001:0030:2000::/44
Argentina,32,128,4096,0201000,2001:0030:2010::/44
Argentina,32,128,8192,0202000,2001:0030:2020::/44
Argentina,32,128,12288,0203000,2001:0030:2030::/44
Argentina,32,129,0,0204000,2001:0030:2040::/44
Argentina,32,129,4096,0205000,2001:0030:2050::/44
Argentina,32,129,8192,0206000,2001:0030:2060::/44
Argentina,32,129,12288,0207000,2001:0030:2070::/44
Argentina,32,130,0,0208000,2001:0030:2080::/44
Argentina,32,130,4096,0209000,2001:0030:2090::/44
Argentina,32,130,8192,020a000,2001:0030:20a0::/44
Argentina,32,130,12288,020b000,2001:0030:20b0::/44
Argentina,32,131,0,020c000,2001:0030:20c0::/44
Argentina,32,131,4096,020d000,2001:0030:20d0::/44
Argentina,32,131,8192,020e000,2001:0030:20e0::/44
Argentina,32,131,12288,020f000,2001:0030:20f0::/44
Armenia,51,204,0,0330000,2001:0030:3300::/44
Armenia,51,204,4096,0331000,2001:0030:3310::/44
Armenia,51,204,8192,0332000,2001:0030:3320::/44
Armenia,51,204,12288,0333000,2001:0030:3330::/44
Armenia,51,205,0,0334000,2001:0030:3340::/44
Armenia,51,205,4096,0335000,2001:0030:3350::/44
Armenia,51,205,8192,0336000,2001:0030:3360::/44
Armenia,51,205,12288,0337000,2001:0030:3370::/44
